erlang index: 65, erlang: 66000, general blocking: 0.0325997, BBP: 0.0931625, Total current utilization: 0.365393, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 66, erlang: 67000, general blocking: 0.0325497, BBP: 0.0938067, Total current utilization: 0.366371, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 67, erlang: 68000, general blocking: 0.0343197, BBP: 0.098177, Total current utilization: 0.368294, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 68, erlang: 69000, general blocking: 0.0341197, BBP: 0.0984259, Total current utilization: 0.37115, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 69, erlang: 70000, general blocking: 0.0356396, BBP: 0.101827, Total current utilization: 0.371736, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 70, erlang: 71000, general blocking: 0.0370696, BBP: 0.104722, Total current utilization: 0.372443, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 71, erlang: 72000, general blocking: 0.0380496, BBP: 0.106674, Total current utilization: 0.373191, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 72, erlang: 73000, general blocking: 0.0378996, BBP: 0.107061, Total current utilization: 0.374616, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 73, erlang: 74000, general blocking: 0.0399196, BBP: 0.111944, Total current utilization: 0.377217, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 74, erlang: 75000, general blocking: 0.0410996, BBP: 0.114671, Total current utilization: 0.377256, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 75, erlang: 76000, general blocking: 0.0408396, BBP: 0.114137, Total current utilization: 0.379439, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 76, erlang: 77000, general blocking: 0.0423396, BBP: 0.118024, Total current utilization: 0.38162, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 77, erlang: 78000, general blocking: 0.0436396, BBP: 0.120969, Total current utilization: 0.382313, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 78, erlang: 79000, general blocking: 0.0442696, BBP: 0.122839, Total current utilization: 0.38319, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 79, erlang: 80000, general blocking: 0.0444996, BBP: 0.123374, Total current utilization: 0.384458, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 80, erlang: 81000, general blocking: 0.0465795, BBP: 0.128743, Total current utilization: 0.385589, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 81, erlang: 82000, general blocking: 0.0475195, BBP: 0.129562, Total current utilization: 0.385652, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 82, erlang: 83000, general blocking: 0.0486395, BBP: 0.132866, Total current utilization: 0.387452, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 83, erlang: 84000, general blocking: 0.0484995, BBP: 0.130508, Total current utilization: 0.388719, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 84, erlang: 85000, general blocking: 0.0492795, BBP: 0.134553, Total current utilization: 0.389014, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 85, erlang: 86000, general blocking: 0.0504995, BBP: 0.136837, Total current utilization: 0.391518, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 86, erlang: 87000, general blocking: 0.0510895, BBP: 0.137642, Total current utilization: 0.39259, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 87, erlang: 88000, general blocking: 0.0507795, BBP: 0.136699, Total current utilization: 0.394146, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 88, erlang: 89000, general blocking: 0.0527595, BBP: 0.14018, Total current utilization: 0.39458, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 89, erlang: 90000, general blocking: 0.0539495, BBP: 0.144344, Total current utilization: 0.39663, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 90, erlang: 91000, general blocking: 0.0552594, BBP: 0.146147, Total current utilization: 0.397746, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 91, erlang: 92000, general blocking: 0.0546095, BBP: 0.145452, Total current utilization: 0.398228, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 92, erlang: 93000, general blocking: 0.0565894, BBP: 0.149298, Total current utilization: 0.399143, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 93, erlang: 94000, general blocking: 0.0567294, BBP: 0.150033, Total current utilization: 0.400751, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 94, erlang: 95000, general blocking: 0.0574294, BBP: 0.151201, Total current utilization: 0.401333, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 95, erlang: 96000, general blocking: 0.0575994, BBP: 0.150708, Total current utilization: 0.402025, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
