erlang index: 67001, erlang: 67001, general blocking: 0.150968, BBP: 0, Total current utilization: 0.473441, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 68001, erlang: 68001, general blocking: 0.153618, BBP: 0, Total current utilization: 0.477731, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 69001, erlang: 69001, general blocking: 0.152108, BBP: 0, Total current utilization: 0.478963, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 70001, erlang: 70001, general blocking: 0.154618, BBP: 0, Total current utilization: 0.481877, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 71001, erlang: 71001, general blocking: 0.154588, BBP: 0, Total current utilization: 0.484209, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 72001, erlang: 72001, general blocking: 0.156788, BBP: 0, Total current utilization: 0.488891, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 73001, erlang: 73001, general blocking: 0.156398, BBP: 0, Total current utilization: 0.488937, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 74001, erlang: 74001, general blocking: 0.158348, BBP: 0, Total current utilization: 0.490317, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 75001, erlang: 75001, general blocking: 0.157988, BBP: 0, Total current utilization: 0.495519, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 76001, erlang: 76001, general blocking: 0.159988, BBP: 0, Total current utilization: 0.494997, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 77001, erlang: 77001, general blocking: 0.161618, BBP: 0, Total current utilization: 0.497712, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 78001, erlang: 78001, general blocking: 0.161848, BBP: 0, Total current utilization: 0.501447, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 79001, erlang: 79001, general blocking: 0.163228, BBP: 0, Total current utilization: 0.502633, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -26.4165, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
